race_id,fastf1_weather_available,fastf1_air_temp_mean,fastf1_air_temp_min,fastf1_air_temp_max,fastf1_track_temp_mean,fastf1_track_temp_min,fastf1_track_temp_max,fastf1_humidity_mean,fastf1_pressure_mean,fastf1_wind_speed_mean,fastf1_wind_direction_mean,fastf1_rainfall_rate,fastf1_wet_race
2018_01,1,24.077477477477483,23.3,24.8,36.324324324324316,32.4,38.9,30.91531531531532,997.0036036036036,3.6918918918918915,294.1261261261261,0.04504504504504504,1.0
2018_02,1,27.982524271844653,27.5,28.3,32.19805825242719,31.1,33.5,47.36310679611651,1009.4941747572815,0.9582524271844662,167.40776699029126,0.0,0.0
2018_03,1,19.446428571428573,18.8,20.2,37.01964285714286,28.3,39.0,24.089285714285715,1018.1312500000001,1.8375000000000001,127.39285714285714,0.017857142857142856,1.0
2018_04,1,16.66140350877193,16.3,17.2,25.25175438596491,23.4,28.0,45.651754385964914,1021.9131578947369,2.2228070175438597,123.78947368421052,0.0,0.0
2018_05,1,16.050476190476193,14.9,17.1,32.33904761904761,28.8,36.7,52.28666666666667,1001.5419047619047,1.9523809523809523,98.6952380952381,0.7904761904761904,1.0
2018_06,1,26.640707964601766,25.3,27.6,34.60973451327434,33.2,37.0,50.892920353982305,1015.2106194690267,1.382300884955752,182.50442477876106,0.12389380530973451,1.0
2018_07,1,20.52358490566038,19.7,21.3,36.94905660377359,32.4,42.1,27.82547169811321,1017.5150943396227,2.471698113207547,144.80188679245282,0.0,0.0
2018_08,1,24.546078431372553,23.4,25.6,42.03333333333334,37.6,45.2,49.049019607843135,966.2598039215685,1.8156862745098041,118.40196078431373,0.00980392156862745,1.0
2018_09,1,23.176086956521743,22.2,24.2,45.87934782608695,43.3,48.6,37.141304347826086,936.1097826086957,2.4847826086956526,60.141304347826086,0.0,0.0
2018_10,1,27.43163265306122,26.4,28.6,52.16938775510204,47.9,54.1,38.73979591836735,1008.3040816326529,1.4612244897959183,109.53061224489795,0.0,0.0
2018_11,1,26.40192307692308,23.5,27.9,40.66826923076923,31.3,45.5,54.80769230769231,1001.3999999999999,2.0086538461538463,190.84615384615384,0.25961538461538464,1.0
2018_12,1,33.75887850467289,32.3,34.9,51.08971962616822,46.6,57.0,33.00654205607477,983.5271028037382,1.1429906542056074,201.09345794392524,0.0,0.0
2018_13,1,17.327358490566038,17.0,18.3,27.89811320754717,25.4,30.8,37.700943396226414,966.9103773584906,2.039622641509434,161.88679245283018,0.0,0.0
2018_14,0,,,,,,,,,,,,
2018_15,1,29.86541353383459,29.6,30.3,33.12406015037594,32.2,34.2,66.03609022556391,1007.8112781954889,1.978947368421053,177.57142857142858,0.0,0.0
2018_16,1,24.778181818181817,24.1,26.0,29.945454545454545,25.5,32.3,61.30818181818182,1016.5336363636363,1.997272727272727,129.11818181818182,0.01818181818181818,1.0
2018_17,1,28.26481481481482,27.7,29.2,37.17037037037037,34.4,40.1,50.51574074074074,1008.1925925925926,1.7916666666666667,315.962962962963,0.0,0.0
2018_18,1,21.93358778625954,20.0,23.4,30.486259541984733,27.2,32.4,37.555725190839695,1005.9,2.0908396946564882,130.1908396946565,0.0,0.0
2018_19,1,20.1231884057971,18.4,21.7,34.47028985507246,25.2,38.6,50.70942028985507,784.1927536231884,1.5594202898550724,242.97101449275362,0.0,0.0
2018_20,1,23.7696,20.8,25.2,40.0688,34.3,44.9,75.4128,923.9295999999999,2.1872000000000003,158.16,0.0,0.0
2018_21,1,31.273722627737225,24.9,33.2,33.31824817518248,28.2,35.7,45.43795620437956,1013.1116788321167,2.1635036496350364,241.17518248175182,0.043795620437956206,1.0
2019_01,1,23.477868852459014,22.8,24.1,41.31311475409837,37.1,45.0,70.4532786885246,1015.3344262295083,1.166393442622951,155.327868852459,0.0,0.0
2019_02,1,26.210852713178294,25.9,26.6,28.610852713178296,27.4,29.5,53.372093023255815,1003.4372093023255,2.7108527131782947,60.72093023255814,0.0,0.0
2019_03,1,19.32992125984252,18.9,19.8,27.33700787401575,25.1,30.6,45.98110236220473,1019.2181102362205,3.3157480314960632,93.80314960629921,0.0,0.0
2019_04,1,19.76356589147287,18.5,21.0,39.65426356589147,34.2,43.6,51.40852713178294,1013.7751937984497,1.2496124031007751,167.48062015503876,0.0,0.0
2019_05,1,20.147727272727273,19.5,21.2,40.72727272727273,38.7,42.4,54.724242424242426,1006.7916666666666,1.9295454545454545,153.82575757575756,0.0,0.0
2019_06,1,22.754676258992802,21.9,24.0,32.72949640287769,30.4,35.3,52.697841726618705,1010.9107913669066,0.9035971223021583,130.84172661870502,0.6258992805755396,1.0
2019_07,1,29.368253968253967,28.1,30.9,51.098412698412695,49.5,52.6,16.14761904761905,1022.1111111111112,1.3087301587301585,224.3095238095238,0.0,0.0
2019_08,1,26.89421487603306,25.3,27.9,54.525619834710746,50.6,57.2,39.09090909090909,966.7239669421491,1.6785123966942148,97.66115702479338,0.0,0.0
2019_09,1,34.44406779661016,33.2,35.3,50.74406779661018,49.0,51.9,17.965254237288136,940.8889830508475,1.225423728813559,188.85593220338984,0.0,0.0
2019_10,1,18.905084745762718,17.6,20.2,30.32203389830509,27.5,35.6,62.135593220338976,1006.3330508474575,2.011864406779661,64.38983050847457,0.0,0.0
2019_11,1,21.503401360544217,20.9,22.1,26.441496598639453,25.8,27.3,87.83061224489796,991.6278911564625,1.006122448979592,185.4625850340136,0.9659863945578231,1.0
2019_12,1,25.66,24.8,27.0,44.096923076923076,38.9,48.5,33.893076923076926,986.4846153846154,1.1938461538461538,192.77692307692308,0.0,0.0
2019_13,1,17.4,16.7,18.2,28.119166666666665,26.4,30.7,57.03,968.2574999999999,2.0358333333333336,154.29166666666666,0.0,0.0
2019_14,1,21.0972972972973,19.7,22.1,33.04054054054055,31.2,36.1,51.574774774774774,989.2405405405406,1.5666666666666667,221.07207207207207,0.0,0.0
2019_15,1,29.965161290322584,29.6,30.3,35.752903225806456,34.1,37.5,66.45548387096774,1010.941935483871,1.8574193548387095,166.88387096774193,0.0,0.0
2019_16,1,22.02977099236641,21.4,23.2,34.33206106870229,32.7,35.7,67.41526717557252,1016.7824427480916,1.8740458015267176,255.18320610687022,0.007633587786259542,1.0
2019_17,1,21.619354838709675,21.2,22.1,32.18387096774193,27.7,39.5,57.47822580645161,1009.141935483871,5.468548387096775,286.991935483871,0.0,0.0
2019_18,1,23.203030303030303,21.8,24.6,41.633333333333326,37.0,46.6,46.28787878787879,780.509090909091,1.3265151515151512,150.46969696969697,0.0,0.0
2019_19,1,21.475572519083972,20.6,22.1,29.081679389312974,27.6,31.3,29.242748091603048,1001.4763358778628,2.553435114503817,183.5267175572519,0.0,0.0
2019_20,1,21.016793893129773,20.1,21.6,46.45343511450381,37.8,50.4,60.289312977099236,924.7916030534351,1.2877862595419847,149.05343511450383,0.0,0.0
2019_21,1,26.018045112781955,24.9,27.6,29.566165413533835,27.1,33.1,64.47142857142858,1015.3834586466165,1.2646616541353384,221.09774436090225,0.0,0.0
2020_01,1,28.684166666666666,26.9,30.0,52.025,46.7,55.6,33.8325,938.7708333333334,1.8875,97.025,0.0,0.0
2020_02,1,20.822499999999998,19.4,22.1,39.919999999999995,35.6,43.7,34.005,945.9099999999999,2.228333333333333,106.50833333333334,0.016666666666666666,1.0
2020_03,1,20.74179104477612,19.9,21.8,27.129850746268662,23.9,30.2,77.19253731343284,986.3149253731344,1.5597014925373132,105.61194029850746,0.014925373134328358,1.0
2020_04,1,21.29140625,20.8,22.1,40.6328125,36.9,43.3,44.16796874999999,998.40859375,3.1140625,217.0703125,0.0,0.0
2020_05,1,25.287068965517243,23.5,26.8,43.227586206896554,41.0,45.1,58.55603448275862,1000.9508620689655,2.236206896551724,71.93103448275862,0.0,0.0
2020_06,1,29.7968992248062,28.6,30.7,47.55581395348836,42.8,50.3,56.38449612403101,997.7038759689923,1.5449612403100776,167.93023255813952,0.0,0.0
2020_07,1,18.568595041322315,17.4,20.1,29.823966942148758,26.9,32.2,54.85289256198346,962.4297520661157,1.465289256198347,251.0082644628099,0.0,0.0
2020_08,0,,,,,,,,,,,,
2020_09,0,,,,,,,,,,,,
2020_10,0,,,,,,,,,,,,
2020_11,0,,,,,,,,,,,,
2020_12,0,,,,,,,,,,,,
2020_13,0,,,,,,,,,,,,
2020_14,0,,,,,,,,,,,,
2020_15,0,,,,,,,,,,,,
2020_16,0,,,,,,,,,,,,
2020_17,0,,,,,,,,,,,,
2021_01,0,,,,,,,,,,,,
2021_02,0,,,,,,,,,,,,
2021_03,0,,,,,,,,,,,,
2021_04,0,,,,,,,,,,,,
2021_05,0,,,,,,,,,,,,
2021_06,0,,,,,,,,,,,,
2021_07,0,,,,,,,,,,,,
2021_08,0,,,,,,,,,,,,
2021_09,0,,,,,,,,,,,,
2021_10,0,,,,,,,,,,,,
2021_11,0,,,,,,,,,,,,
2021_12,0,,,,,,,,,,,,
2021_13,0,,,,,,,,,,,,
2021_14,0,,,,,,,,,,,,
2021_15,0,,,,,,,,,,,,
2021_16,0,,,,,,,,,,,,
2021_17,0,,,,,,,,,,,,
2021_18,0,,,,,,,,,,,,
2021_19,0,,,,,,,,,,,,
2021_20,0,,,,,,,,,,,,
2021_21,0,,,,,,,,,,,,
2021_22,0,,,,,,,,,,,,
2022_01,0,,,,,,,,,,,,
2022_02,0,,,,,,,,,,,,
2022_03,0,,,,,,,,,,,,
2022_04,0,,,,,,,,,,,,
2022_05,0,,,,,,,,,,,,
2022_06,0,,,,,,,,,,,,
2022_07,0,,,,,,,,,,,,
2022_08,0,,,,,,,,,,,,
2022_09,0,,,,,,,,,,,,
2022_10,0,,,,,,,,,,,,
2022_11,0,,,,,,,,,,,,
2022_12,0,,,,,,,,,,,,
2022_13,0,,,,,,,,,,,,
2022_14,0,,,,,,,,,,,,
2022_15,0,,,,,,,,,,,,
2022_16,0,,,,,,,,,,,,
2022_17,0,,,,,,,,,,,,
2022_18,0,,,,,,,,,,,,
2022_19,0,,,,,,,,,,,,
2022_20,0,,,,,,,,,,,,
2022_21,0,,,,,,,,,,,,
2022_22,0,,,,,,,,,,,,
2023_01,0,,,,,,,,,,,,
2023_02,0,,,,,,,,,,,,
2023_03,0,,,,,,,,,,,,
2023_04,0,,,,,,,,,,,,
2023_05,0,,,,,,,,,,,,
2023_06,0,,,,,,,,,,,,
2023_07,0,,,,,,,,,,,,
2023_08,0,,,,,,,,,,,,
2023_09,0,,,,,,,,,,,,
2023_10,0,,,,,,,,,,,,
2023_11,0,,,,,,,,,,,,
2023_12,0,,,,,,,,,,,,
2023_13,0,,,,,,,,,,,,
2023_14,0,,,,,,,,,,,,
2023_15,0,,,,,,,,,,,,
2023_16,0,,,,,,,,,,,,
2023_17,0,,,,,,,,,,,,
2023_18,0,,,,,,,,,,,,
2023_19,0,,,,,,,,,,,,
2023_20,0,,,,,,,,,,,,
2023_21,0,,,,,,,,,,,,
2023_22,0,,,,,,,,,,,,
2024_01,1,18.22738853503185,17.6,18.9,23.652866242038225,21.9,26.5,48.82165605095541,1017.1859872611466,0.7859872611464969,89.79617834394904,0.0,0.0
2024_02,1,25.528082191780825,25.2,25.9,31.59315068493151,29.1,33.6,62.33561643835616,1012.6828767123288,1.3027397260273974,129.14383561643837,0.0,0.0
2024_03,1,20.62222222222222,19.0,22.0,38.40208333333333,36.7,39.6,44.451388888888886,1020.6013888888888,0.9534722222222224,154.78472222222223,0.0,0.0
2024_04,1,21.69116022099448,19.5,22.7,37.50110497237569,31.3,40.5,43.430939226519335,1012.3723756906076,2.2408839779005527,185.6685082872928,0.0,0.0
2024_05,1,18.63939393939394,18.0,19.1,29.792727272727276,26.8,32.3,66.06060606060606,1011.4521212121213,1.68,147.55151515151516,0.0,0.0
2024_06,1,28.521999999999995,27.9,29.0,44.664,39.3,49.1,59.00666666666667,1016.4626666666668,3.080666666666666,152.64,0.0,0.0
2024_07,1,25.11398601398601,24.0,26.1,42.023776223776224,38.6,46.0,48.42657342657343,1006.634265734266,2.141258741258741,135.979020979021,0.0,0.0
2024_08,1,21.596499999999995,20.9,22.3,46.318000000000005,40.2,50.0,63.99,1018.7434999999998,0.9795,160.895,0.0,0.0
2024_09,1,17.797345132743363,15.9,19.1,24.569911504424784,19.9,28.5,73.38053097345133,996.1973451327436,1.169911504424779,158.1504424778761,0.2743362831858407,1.0
2024_10,1,24.132467532467533,23.6,24.7,41.09610389610391,38.3,43.6,63.44155844155844,1001.3564935064936,2.123376623376624,207.37012987012983,0.0064935064935064,1.0
2024_11,1,29.42587412587413,28.6,30.6,46.42097902097903,43.4,49.0,35.00699300699301,932.862937062937,1.667832167832168,235.51048951048952,0.0069930069930069,1.0
2024_12,1,15.77074829931973,14.5,16.8,27.670068027210885,20.7,37.9,67.33333333333333,992.1265306122448,1.3482993197278912,221.2244897959184,0.3469387755102041,1.0
2024_13,1,28.82387096774194,27.4,30.3,44.91612903225806,40.4,49.7,46.92258064516129,981.6767741935486,1.2496774193548386,221.18709677419355,0.0,0.0
2024_14,1,21.32846715328467,20.6,22.1,42.26715328467153,37.7,44.1,49.58394160583941,978.0963503649637,1.6832116788321163,140.98540145985402,0.0,0.0
2024_15,1,19.00588235294118,18.2,19.7,30.80588235294118,27.5,32.4,60.96078431372549,1019.981045751634,4.568627450980392,218.0718954248366,0.0,0.0
2024_16,1,33.1015037593985,32.2,34.1,49.31127819548872,43.5,54.6,32.285714285714285,993.2285714285714,1.518796992481203,200.62406015037595,0.0,0.0
2024_17,1,26.70592105263158,25.7,28.2,44.34934210526316,39.3,47.9,38.01973684210526,1017.6401315789471,1.5513157894736842,123.55263157894736,0.0,0.0
2024_18,1,30.786250000000003,30.4,31.2,36.445625,34.4,38.5,74.65,1008.024375,0.955,192.49375,0.0,0.0
2024_19,1,28.12129032258064,26.7,29.3,46.60193548387097,44.1,48.0,35.535483870967745,1006.5090322580644,1.5,223.88387096774196,0.0,0.0
2024_20,1,19.88867924528302,18.0,21.2,35.60251572327045,30.6,40.2,51.0503144654088,785.2528301886794,2.150943396226415,291.3522012578616,0.0,0.0
2024_21,1,21.66268656716417,20.4,23.4,25.769651741293536,23.2,29.5,85.2587064676617,926.4567164179105,0.735820895522388,188.955223880597,0.582089552238806,1.0
2024_22,1,17.825174825174823,17.0,18.6,17.723776223776223,16.6,19.9,47.86013986013986,935.8923076923078,2.8986013986013983,235.2937062937063,0.0,0.0
2024_23,1,18.926490066225167,18.2,19.7,22.77350993377484,21.9,23.8,57.25165562913907,1015.5000000000002,1.6576158940397352,105.64900662251657,0.0,0.0
2024_24,1,26.76824324324324,25.8,27.8,31.80540540540541,29.1,37.2,51.44594594594594,1017.4263513513514,1.9006756756756755,137.03378378378378,0.0,0.0
2025_01,1,15.707865168539326,15.1,16.6,18.942134831460677,18.3,19.4,78.42134831460675,1009.9016853932584,3.475280898876404,242.2865168539326,0.3258426966292135,1.0
2025_02,1,27.21558441558442,26.4,28.1,35.81688311688312,30.5,43.0,18.233766233766232,1010.4227272727276,2.188311688311688,241.4935064935065,0.0,0.0
2025_03,1,14.429999999999998,14.2,14.7,20.51428571428572,19.0,23.0,76.37142857142857,1009.3171428571428,1.202142857142857,253.25714285714287,0.0,0.0
2025_04,1,27.052531645569623,26.6,27.9,31.870253164556964,30.2,34.8,45.32911392405063,1008.125316455696,2.1056962025316457,37.0253164556962,0.0,0.0
2025_05,1,29.4838028169014,28.3,31.7,37.81971830985916,35.9,39.4,62.725352112676056,1006.7661971830984,1.0260563380281689,215.7323943661972,0.0,0.0
2025_06,1,26.573154362416112,25.9,28.0,38.69060402684564,34.8,45.2,63.02013422818792,1012.2959731543624,1.046979865771812,220.99328859060404,0.0335570469798657,1.0
2025_07,1,23.964666666666663,23.4,24.3,42.664,38.6,45.9,38.306666666666665,1009.8,3.248,285.5466666666667,0.0,0.0
2025_08,1,22.209375,21.3,22.9,43.3175,41.3,45.2,52.51875,1016.78375,0.979375,208.85,0.0,0.0
2025_09,1,29.12,28.1,30.0,48.54322580645161,46.5,50.4,54.6258064516129,1002.771612903226,1.6329032258064518,147.10967741935485,0.0,0.0
2025_10,1,24.036526946107788,22.8,25.6,49.25329341317366,47.0,50.4,27.976047904191617,1018.9281437125752,1.0377245508982034,168.82634730538922,0.0059880239520958,1.0
2025_11,1,30.347826086956523,29.1,31.3,49.1664596273292,45.7,51.9,31.981366459627328,943.3447204968944,1.6180124223602483,93.80124223602483,0.0,0.0
2025_12,1,17.91741935483871,16.0,19.6,23.578709677419354,20.0,29.6,78.3741935483871,988.776774193548,1.4832258064516128,139.00645161290322,0.1806451612903225,1.0
2025_13,1,17.030044843049332,14.5,19.0,24.09013452914799,20.7,27.6,84.4439461883408,965.047533632287,1.446188340807175,292.10762331838566,0.4573991031390134,1.0
2025_14,1,22.082165605095543,21.6,22.5,32.72993630573249,30.6,38.0,57.24203821656051,987.140127388535,2.150955414012739,258.80254777070064,0.0,0.0
2025_15,1,20.077358490566034,19.4,20.7,27.96352201257861,25.6,29.3,71.17610062893081,1006.2056603773584,2.170440251572327,195.125786163522,0.0,0.0
2025_16,1,26.76111111111111,25.9,27.4,43.28819444444444,39.8,45.9,42.60416666666666,996.7527777777776,1.9604166666666665,184.38194444444449,0.0,0.0
2025_17,1,20.55192307692308,20.3,21.1,26.107051282051284,24.0,29.0,59.833333333333336,1021.1160256410255,1.5070512820512822,160.76282051282053,0.0,0.0
2025_18,1,29.072049689440995,28.5,29.5,33.85217391304348,32.5,38.8,74.36024844720497,1010.7776397515528,1.1111801242236024,149.72049689440993,0.0372670807453416,1.0
2025_19,1,28.267532467532465,26.4,29.3,45.0448051948052,42.1,46.3,22.53246753246753,1001.1077922077924,2.0824675324675326,243.0064935064935,0.0,0.0
2025_20,1,26.405555555555555,25.4,27.1,50.58827160493828,45.7,53.2,23.234567901234566,780.8888888888889,1.847530864197531,230.4753086419753,0.0,0.0
2025_21,1,17.348026315789475,16.6,18.0,30.69276315789474,29.3,32.8,70.57236842105263,929.7085526315788,1.5098684210526316,166.6578947368421,0.0,0.0
2025_22,1,16.73404255319149,16.3,17.2,19.52978723404255,16.7,29.5,37.765957446808514,941.8964539007094,1.4368794326241134,171.39716312056737,0.0,0.0
2025_23,1,22.5993288590604,21.6,23.7,28.16040268456376,25.2,29.8,69.04697986577182,1016.095302013423,1.251006711409396,216.46308724832213,0.0,0.0
2025_24,1,26.67402597402597,25.9,27.5,31.06168831168831,28.7,34.6,60.44155844155844,1016.727922077922,1.5733766233766235,223.07142857142856,0.0,0.0
